grouping,sort,section,units,grade,level_achieved
Central Administrative,STAFFUNC1,Staff,percent_of_staff,All,NA
School Administrative,STAFFUNC2,Staff,percent_of_staff,All,NA
Professional Support Staff,STAFFUNC3,Staff,percent_of_staff,All,NA
Teachers,STAFFUNC4,Staff,percent_of_staff,All,NA
Educational Aides,STAFFUNC5,Staff,percent_of_staff,All,NA
Auxiliary Staff,STAFFUNC6,Staff,percent_of_staff,All,NA
All Subjects,SUBJ1,Standardized_Scores,score,All,Approaches_or_Above
All Subjects,SUBJ1,Standardized_Scores,score,All,Failing
All Subjects,SUBJ1,Standardized_Scores,score,All,Masters
All Subjects,SUBJ1,Standardized_Scores,score,All,Meets_or_Above
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Approaches_or_Above
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Failing
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Masters
Reading-ELA,SUBJ2,Standardized_Scores,score,All,Meets_or_Above
Writing,SUBJ3,Standardized_Scores,score,All,Approaches_or_Above
Writing,SUBJ3,Standardized_Scores,score,All,Failing
Writing,SUBJ3,Standardized_Scores,score,All,Masters
Writing,SUBJ3,Standardized_Scores,score,All,Meets_or_Above
Mathematics,SUBJ4,Standardized_Scores,score,All,Approaches_or_Above
Mathematics,SUBJ4,Standardized_Scores,score,All,Failing
Mathematics,SUBJ4,Standardized_Scores,score,All,Masters
Mathematics,SUBJ4,Standardized_Scores,score,All,Meets_or_Above
Science,SUBJ5,Standardized_Scores,score,All,Approaches_or_Above
Science,SUBJ5,Standardized_Scores,score,All,Failing
Science,SUBJ5,Standardized_Scores,score,All,Masters
Science,SUBJ5,Standardized_Scores,score,All,Meets_or_Above
Social Studies,SUBJ6,Standardized_Scores,score,All,Approaches_or_Above
Social Studies,SUBJ6,Standardized_Scores,score,All,Failing
Social Studies,SUBJ6,Standardized_Scores,score,All,Masters
Social Studies,SUBJ6,Standardized_Scores,score,All,Meets_or_Above
With 5 or Fewer Years Experience,TQUAL1,Teachers,percent_of_teachers,All,NA
Average Years of Experience,TQUAL2,Teachers,count,All,NA
With Advanced Degrees,TQUAL3,Teachers,percent_of_teachers,All,NA
Teacher Turnover Rate,TQUAL4,Teachers,rate,All,NA
Taxable Value Per Pupil,TR1,Taxes_and_Revenues,dollars,All,NA
Locally Adopted Tax Rate,TR2,Taxes_and_Revenues,rate,All,NA
Total Revenue,TR3,Taxes_and_Revenues,dollars,All,NA
Total Revenue Per Pupil,TR4,Taxes_and_Revenues,dollars,All,NA
Total Operating Revenue,TR5,Taxes_and_Revenues,dollars,All,NA
Total Other Revenue,TR9,Taxes_and_Revenues,dollars,All,NA
Regular Education,TTYPE1,Teachers,percent_of_teachers,All,NA
Special Education,TTYPE2,Teachers,percent_of_teachers,All,NA
Compensatory Education,TTYPE3,Teachers,percent_of_teachers,All,NA
Bilingual-ESL Education,TTYPE4,Teachers,percent_of_teachers,All,NA
Career and Technology Education,TTYPE5,Teachers,percent_of_teachers,All,NA
Other Education-Includes G and T,TTYPE6,Teachers,percent_of_teachers,All,NA
